#depth variance  VR       nsta
  8  5.265e-09  4.278e+01   5
#mxx        mxy        mxz        myy        myz        mzz
 3.864e+21 -6.789e+21 -1.726e+21 -1.939e+21  1.812e+21 -1.925e+21
#st1 rk1 dp1 st2 rk2 dp2
192 165  86 282   4  76
#pdc pclvd piso
 46  54   0

#filename
BRLDA.data
#dt   npts  dist   Az   Zcor VR
1.000  120  46.0 212.0    5  4.443e+01
#data T          R          Z    synth T          R          Z
 6.619e-05  5.201e-06  1.826e-05  3.481e-06  1.387e-06  4.429e-06
-1.387e-04 -2.426e-05  4.121e-05  6.219e-06 -4.934e-07  3.607e-06
-9.585e-05 -1.659e-05  1.678e-05  7.820e-06 -1.389e-06  2.527e-06
 1.180e-04 -1.999e-05  3.570e-05  4.990e-06 -1.638e-06  1.947e-06
 1.021e-04 -9.635e-05  4.126e-05 -2.847e-06 -1.586e-06  2.131e-06
-1.278e-04  2.080e-06  4.258e-07 -1.380e-05 -1.522e-06  2.873e-06
-1.837e-04  7.383e-05 -7.267e-07 -2.472e-05 -1.621e-06  3.713e-06
 2.083e-05 -7.073e-05  1.578e-05 -3.249e-05 -1.867e-06  4.169e-06
 1.516e-04 -8.838e-05 -1.914e-05 -3.490e-05 -2.115e-06  3.916e-06
 2.979e-06  5.709e-05 -3.399e-06 -3.119e-05 -2.226e-06  2.884e-06
-1.471e-04  1.128e-05 -9.472e-06 -2.210e-05 -2.112e-06  1.251e-06
-2.271e-05 -2.155e-05 -3.778e-05 -9.688e-06 -1.698e-06 -6.433e-07
 1.420e-04  2.965e-05 -1.584e-05  3.204e-06 -9.781e-07 -2.404e-06
-1.316e-05  2.527e-07  7.029e-07  1.402e-05 -6.127e-08 -3.686e-06
-5.190e-05  6.019e-05 -1.666e-05  2.115e-05  8.918e-07 -4.271e-06
 6.262e-05 -1.896e-06  1.145e-05  2.395e-05  1.733e-06 -4.099e-06
 1.662e-05 -5.471e-05  2.799e-05  2.262e-05  2.341e-06 -3.264e-06
-2.215e-05  2.386e-05  1.087e-06  1.820e-05  2.627e-06 -1.964e-06
 2.646e-05 -3.395e-05  4.803e-06  1.210e-05  2.561e-06 -4.490e-07
 1.148e-05 -5.525e-06 -8.405e-06  5.609e-06  2.174e-06  1.032e-06
-3.229e-05  8.320e-05 -2.320e-05 -3.048e-07  1.535e-06  2.272e-06
-1.826e-05  1.820e-05  2.196e-05 -5.018e-06  7.389e-07  3.130e-06
 1.070e-05 -1.504e-05 -1.474e-05 -8.278e-06 -1.046e-07  3.539e-06
 1.568e-05 -1.510e-05  1.496e-05 -1.015e-05 -8.919e-07  3.505e-06
-2.444e-05 -1.453e-05  1.550e-05 -1.086e-05 -1.540e-06  3.082e-06
-2.617e-05  3.200e-05 -5.378e-06 -1.061e-05 -1.991e-06  2.366e-06
-6.970e-06 -1.496e-05  2.313e-05 -9.606e-06 -2.211e-06  1.467e-06
-1.623e-05 -2.188e-05 -7.492e-06 -8.026e-06 -2.191e-06  4.987e-07
-7.116e-06  1.399e-05  4.897e-06 -5.993e-06 -1.943e-06 -4.358e-07
-1.287e-05 -1.259e-06 -1.682e-05 -3.630e-06 -1.503e-06 -1.249e-06
 1.178e-05  3.041e-05 -1.526e-05 -1.101e-06 -9.300e-07 -1.874e-06
 3.020e-05 -1.022e-05  6.227e-06  1.396e-06 -2.963e-07 -2.269e-06
 3.143e-05  2.046e-05 -6.263e-06  3.650e-06  3.193e-07 -2.412e-06
 1.308e-05  1.815e-05  9.855e-06  5.462e-06  8.430e-07 -2.311e-06
-2.722e-05 -5.907e-06 -1.201e-06  6.682e-06  1.220e-06 -1.999e-06
-3.171e-05 -2.682e-05  1.556e-06  7.217e-06  1.425e-06 -1.528e-06
-2.612e-05 -3.198e-05 -1.189e-05  7.050e-06  1.460e-06 -9.684e-07
 8.368e-07 -1.781e-05 -5.984e-06  6.257e-06  1.345e-06 -3.902e-07
 2.505e-05 -1.127e-05 -3.424e-06  4.995e-06  1.116e-06  1.416e-07
 8.462e-06 -7.390e-06  1.225e-05  3.467e-06  8.117e-07  5.755e-07
-2.113e-05 -9.011e-06  1.604e-05  1.881e-06  4.735e-07  8.803e-07
-3.193e-05 -1.634e-05  6.016e-06  4.269e-07  1.365e-07  1.046e-06
-2.738e-05 -7.384e-06 -2.695e-06 -7.617e-07 -1.667e-07  1.079e-06
-1.325e-07 -3.609e-06 -1.167e-05 -1.617e-06 -4.078e-07  9.960e-07
 1.496e-05  1.289e-05 -1.250e-05 -2.119e-06 -5.707e-07  8.214e-07
 4.251e-05  1.645e-05 -2.363e-06 -2.282e-06 -6.531e-07  5.890e-07
 3.495e-05  1.490e-05  7.956e-07 -2.156e-06 -6.621e-07  3.382e-07
 2.236e-05  4.145e-06  9.816e-06 -1.832e-06 -6.102e-07  1.054e-07
 1.138e-05 -9.602e-06  7.810e-06 -1.420e-06 -5.124e-07 -8.213e-08
-6.213e-06  2.819e-07  6.027e-07 -1.016e-06 -3.858e-07 -2.088e-07
-1.099e-05 -1.002e-05 -8.506e-06 -6.851e-07 -2.497e-07 -2.722e-07
 1.679e-05 -1.509e-05 -3.662e-06 -4.593e-07 -1.205e-07 -2.819e-07
 1.262e-05 -3.870e-06 -9.119e-06 -3.416e-07 -1.092e-08 -2.538e-07
-2.133e-05  1.348e-05 -4.290e-06 -3.188e-07  7.014e-08 -2.013e-07
-3.740e-05  4.633e-06  1.074e-06 -3.717e-07  1.183e-07 -1.310e-07
-2.094e-05 -8.489e-06  5.324e-06 -4.797e-07  1.348e-07 -4.726e-08
 8.474e-06 -1.693e-05  1.303e-06 -6.207e-07  1.263e-07  4.049e-08
 1.388e-05 -8.568e-06  6.245e-06 -7.654e-07  1.020e-07  1.188e-07
-5.865e-06  1.752e-05  7.575e-06 -8.768e-07  6.644e-08  1.752e-07
-1.146e-05  3.480e-05  9.347e-06 -9.250e-07  2.226e-08  2.017e-07
 6.648e-06  1.742e-05  5.280e-07 -9.041e-07 -2.400e-08  1.962e-07
 2.035e-05  5.888e-06 -8.426e-06 -8.311e-07 -6.269e-08  1.627e-07
 2.313e-05 -1.559e-06 -4.690e-06 -7.256e-07 -8.560e-08  1.109e-07
 2.685e-05  4.687e-06 -8.635e-07 -5.919e-07 -9.055e-08  5.214e-08
-1.149e-06  2.818e-05 -1.644e-06 -4.211e-07 -8.122e-08 -7.604e-09
-2.100e-05  3.056e-05  5.914e-07 -2.073e-07 -6.129e-08 -6.724e-08
-4.891e-06  9.255e-06  6.897e-07  3.996e-08 -3.411e-08 -1.241e-07
 1.804e-05 -5.083e-06 -4.175e-06  2.995e-07 -4.719e-09 -1.720e-07
 7.042e-06 -1.312e-05 -5.761e-06  5.522e-07  2.456e-08 -2.049e-07
-9.116e-08 -1.254e-05  4.335e-06  7.884e-07  5.536e-08 -2.219e-07
-1.280e-05 -1.037e-05  2.559e-06  1.003e-06  8.824e-08 -2.261e-07
-2.296e-05 -7.419e-06  7.451e-07  1.186e-06  1.184e-07 -2.205e-07
-1.621e-05 -4.760e-06  8.866e-08  1.320e-06  1.362e-07 -2.076e-07
-1.259e-05 -8.345e-06 -1.239e-06  1.388e-06  1.372e-07 -1.902e-07
-1.027e-05 -6.282e-06 -2.895e-06  1.381e-06  1.267e-07 -1.685e-07
 2.160e-06  7.592e-06  4.240e-06  1.300e-06  1.118e-07 -1.392e-07
 1.534e-05  1.222e-05  6.622e-06  1.162e-06  9.526e-08 -9.993e-08
 1.412e-05  8.579e-06  4.623e-07  9.845e-07  7.760e-08 -5.354e-08
-5.097e-06  1.138e-05 -5.009e-06  7.864e-07  5.830e-08 -8.670e-09

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  120 206.0 123.0   12  6.813e+01
#data T          R          Z    synth T          R          Z
-1.484e-06 -1.147e-05  1.144e-05  1.783e-07  1.047e-06  1.405e-07
 1.795e-05 -2.046e-05  1.871e-05  2.953e-08  6.172e-07  2.476e-09
 2.957e-05 -1.091e-05  1.958e-05 -1.117e-07 -1.075e-08 -1.643e-07
 2.219e-05  7.789e-06  1.344e-05 -1.978e-07 -6.545e-07 -3.100e-07
 1.435e-07  1.595e-05  1.864e-06 -2.036e-07 -1.118e-06 -3.931e-07
-1.821e-05  7.643e-06 -8.769e-06 -1.330e-07 -1.268e-06 -3.961e-07
-1.960e-05 -4.490e-06 -1.205e-05 -1.268e-08 -1.084e-06 -3.257e-07
-5.683e-06 -6.651e-06 -8.409e-06  1.215e-07 -6.403e-07 -2.069e-07
 1.031e-05 -3.459e-07 -1.786e-06  2.359e-07 -7.149e-08 -7.421e-08
 1.355e-05  4.063e-06  4.427e-06  3.057e-07  4.706e-07  3.750e-08
 1.471e-06  1.603e-06  5.777e-06  3.202e-07  8.616e-07  1.049e-07
-1.214e-05 -2.356e-06  1.073e-06  2.853e-07  1.038e-06  1.237e-07
-9.915e-06 -2.604e-06 -4.150e-06  2.196e-07  1.008e-06  1.083e-07
 8.113e-06  4.123e-08 -5.035e-06  1.456e-07  8.296e-07  7.853e-08
 2.268e-05  3.647e-06 -3.535e-06  8.057e-08  5.846e-07  4.614e-08
 1.660e-05  1.101e-05 -5.031e-06  3.200e-08  3.413e-07  9.028e-09
