#depth variance  VR       nsta
  8  4.818e-10  3.705e+01   4
#mxx        mxy        mxz        myy        myz        mzz
 1.356e+21 -5.250e+21 -1.039e+21 -7.134e+20  7.712e+20 -6.422e+20
#st1 rk1 dp1 st2 rk2 dp2
276   9  83 185 173  82
#pdc pclvd piso
 70  30   0

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  150 206.0 123.0   15  6.493e+01
#data T          R          Z    synth T          R          Z
-9.206e-06 -2.394e-06 -1.636e-06 -1.262e-08  2.419e-07 -1.786e-09
-1.399e-05 -8.738e-06 -9.206e-07 -8.568e-08  2.388e-07 -1.848e-08
-1.868e-05 -1.690e-05 -8.809e-07 -1.659e-07  2.233e-07 -2.949e-08
-1.532e-05 -2.331e-05 -2.509e-07 -2.505e-07  1.986e-07 -3.745e-08
-4.854e-06 -2.596e-05  6.105e-07 -3.358e-07  1.663e-07 -3.763e-08
 2.895e-06 -2.359e-05  1.525e-06 -4.169e-07  1.258e-07 -3.435e-08
 7.823e-07 -1.844e-05  2.336e-06 -4.871e-07  8.087e-08 -3.035e-08
-6.680e-06 -1.347e-05  3.160e-06 -5.389e-07  3.159e-08 -2.454e-08
-9.126e-06 -9.441e-06  4.949e-06 -5.643e-07 -2.076e-08 -1.988e-08
-2.229e-06 -6.670e-06  8.277e-06 -5.564e-07 -7.260e-08 -1.433e-08
 7.554e-06 -5.038e-06  1.173e-05 -5.104e-07 -1.232e-07 -7.549e-09
 1.226e-05 -4.382e-06  1.371e-05 -4.253e-07 -1.698e-07 -1.406e-09
 1.192e-05 -5.196e-06  1.356e-05 -3.047e-07 -2.100e-07  5.938e-09
 1.171e-05 -6.694e-06  1.174e-05 -1.575e-07 -2.422e-07  1.451e-08
 1.299e-05 -6.321e-06  8.580e-06  3.891e-09 -2.634e-07  2.450e-08
 1.101e-05 -4.025e-06  4.384e-06  1.647e-07 -2.727e-07  3.440e-08
 2.362e-06 -1.595e-06  7.330e-07  3.105e-07 -2.697e-07  4.034e-08
-6.176e-06 -7.742e-07 -9.791e-07  4.287e-07 -2.554e-07  4.098e-08
-4.683e-06 -1.630e-06 -1.617e-06  5.106e-07 -2.319e-07  3.605e-08
 6.760e-06 -2.537e-06 -1.549e-06  5.514e-07 -2.011e-07  2.705e-08
 1.683e-05 -2.026e-06 -3.559e-07  5.496e-07 -1.651e-07  1.686e-08
 1.713e-05  6.129e-07  1.665e-06  5.060e-07 -1.254e-07  7.957e-09
 1.127e-05  4.744e-06  3.599e-06  4.235e-07 -8.416e-08  1.821e-09
 6.683e-06  8.061e-06  4.641e-06  3.070e-07 -4.366e-08 -3.201e-09
 4.290e-06  9.975e-06  5.343e-06  1.638e-07 -6.822e-09 -1.020e-08
 2.201e-07  1.116e-05  6.623e-06  4.934e-09  2.323e-08 -2.102e-08
-5.289e-06  1.040e-05  8.365e-06 -1.552e-07  4.444e-08 -3.508e-08
-6.416e-06  7.801e-06  9.975e-06 -2.995e-07  5.646e-08 -4.988e-08
-1.158e-06  6.443e-06  1.076e-05 -4.098e-07  6.066e-08 -6.282e-08
 3.763e-06  8.361e-06  1.008e-05 -4.696e-07  5.962e-08 -7.192e-08
 2.342e-06  9.892e-06  7.496e-06 -4.667e-07  5.642e-08 -7.676e-08
-1.282e-06  7.113e-06  3.585e-06 -3.965e-07  5.418e-08 -7.898e-08
 7.355e-07  1.491e-06 -9.448e-07 -2.629e-07  5.540e-08 -8.101e-08
 6.710e-06 -3.157e-06 -5.787e-06 -7.829e-08  6.162e-08 -8.389e-08
 8.202e-06 -5.182e-06 -9.890e-06  1.385e-07  7.375e-08 -8.629e-08
 4.459e-06 -4.831e-06 -1.202e-05  3.632e-07  9.240e-08 -8.624e-08
 4.088e-06 -2.254e-06 -1.208e-05  5.693e-07  1.177e-07 -8.312e-08
 9.279e-06  2.450e-06 -1.088e-05  7.307e-07  1.485e-07 -7.791e-08
 1.113e-05  7.640e-06 -9.724e-06  8.259e-07  1.823e-07 -7.179e-08
 5.354e-06  9.912e-06 -1.022e-05  8.406e-07  2.156e-07 -6.510e-08
-1.296e-06  7.146e-06 -1.270e-05  7.689e-07  2.438e-07 -5.739e-08
-3.156e-06  1.602e-06 -1.519e-05  6.145e-07  2.624e-07 -4.822e-08
-4.174e-06 -1.757e-06 -1.540e-05  3.918e-07  2.676e-07 -3.736e-08

#filename
TD009.data
#dt   npts  dist   Az   Zcor VR
1.000  150 241.0 169.0   13  3.464e+01
#data T          R          Z    synth T          R          Z
-1.788e-06 -4.717e-05 -6.202e-06  1.403e-06 -1.596e-07  7.483e-08
-1.235e-06 -5.599e-05 -9.710e-06  1.396e-06 -3.039e-07 -2.438e-08
-2.637e-06 -6.297e-05 -1.288e-05  1.344e-06 -4.295e-07 -1.266e-07
-5.492e-06 -6.723e-05 -1.436e-05  1.247e-06 -5.368e-07 -2.283e-07
-8.008e-06 -6.841e-05 -1.390e-05  1.106e-06 -6.271e-07 -3.267e-07
-8.500e-06 -6.694e-05 -1.257e-05  9.197e-07 -7.008e-07 -4.195e-07
-6.722e-06 -6.335e-05 -1.188e-05  6.880e-07 -7.569e-07 -5.039e-07
-3.841e-06 -5.775e-05 -1.258e-05  4.131e-07 -7.925e-07 -5.769e-07
-1.354e-06 -5.023e-05 -1.448e-05  9.955e-08 -8.049e-07 -6.365e-07
 1.714e-09 -4.174e-05 -1.681e-05 -2.443e-07 -7.934e-07 -6.825e-07
 5.239e-07 -3.394e-05 -1.864e-05 -6.080e-07 -7.620e-07 -7.176e-07
 1.135e-06 -2.800e-05 -1.930e-05 -9.803e-07 -7.219e-07 -7.483e-07
 2.572e-06 -2.386e-05 -1.879e-05 -1.351e-06 -6.926e-07 -7.839e-07
 4.644e-06 -2.067e-05 -1.783e-05 -1.715e-06 -7.017e-07 -8.362e-07
 6.246e-06 -1.772e-05 -1.724e-05 -2.068e-06 -7.828e-07 -9.167e-07
 6.277e-06 -1.481e-05 -1.709e-05 -2.415e-06 -9.710e-07 -1.033e-06
 4.637e-06 -1.169e-05 -1.648e-05 -2.758e-06 -1.296e-06 -1.185e-06
 2.364e-06 -7.917e-06 -1.438e-05 -3.106e-06 -1.771e-06 -1.357e-06
 9.181e-07 -3.159e-06 -1.070e-05 -3.461e-06 -2.380e-06 -1.515e-06
 1.120e-06  2.322e-06 -6.396e-06 -3.824e-06 -3.064e-06 -1.602e-06
 2.416e-06  7.797e-06 -2.515e-06 -4.190e-06 -3.714e-06 -1.543e-06
 3.437e-06  1.263e-05  7.202e-07 -4.540e-06 -4.166e-06 -1.254e-06
 3.398e-06  1.656e-05  3.963e-06 -4.843e-06 -4.221e-06 -6.562e-07
 2.757e-06  1.949e-05  8.151e-06 -5.050e-06 -3.664e-06  3.028e-07
 2.495e-06  2.137e-05  1.375e-05 -5.095e-06 -2.316e-06  1.623e-06
 3.000e-06  2.243e-05  2.041e-05 -4.903e-06 -9.512e-08  3.226e-06
 3.803e-06  2.325e-05  2.714e-05 -4.399e-06  2.922e-06  4.937e-06
 4.353e-06  2.434e-05  3.248e-05 -3.527e-06  6.436e-06  6.475e-06
 4.382e-06  2.562e-05  3.493e-05 -2.264e-06  9.915e-06  7.498e-06
 3.505e-06  2.632e-05  3.393e-05 -6.376e-07  1.272e-05  7.743e-06
 1.512e-06  2.579e-05  3.035e-05  1.268e-06  1.432e-05  7.109e-06
-1.333e-06  2.383e-05  2.529e-05  3.317e-06  1.429e-05  5.600e-06
-4.168e-06  2.035e-05  2.009e-05  5.332e-06  1.236e-05  3.334e-06
-5.812e-06  1.607e-05  1.582e-05  7.109e-06  8.551e-06  6.535e-07
-5.375e-06  1.151e-05  1.266e-05  8.465e-06  3.371e-06 -1.909e-06
-2.856e-06  6.896e-06  1.000e-05  9.279e-06 -2.298e-06 -3.816e-06
 7.966e-07  2.455e-06  7.066e-06  9.532e-06 -7.390e-06 -4.685e-06
 4.535e-06 -1.293e-06  3.837e-06  9.327e-06 -1.095e-05 -4.413e-06
 7.444e-06 -3.631e-06  9.447e-07  8.886e-06 -1.245e-05 -3.225e-06
 9.294e-06 -4.030e-06 -6.811e-07  8.523e-06 -1.199e-05 -1.594e-06
 1.069e-05 -2.408e-06 -6.133e-07  8.590e-06 -1.018e-05 -8.231e-08
 1.281e-05  3.899e-07  3.577e-07  9.415e-06 -7.858e-06  8.449e-07
 1.665e-05  3.107e-06  8.666e-07  1.124e-05 -5.686e-06  9.912e-07
 2.219e-05  4.383e-06 -7.124e-08  1.413e-05 -3.957e-06  4.538e-07
 2.842e-05  3.646e-06 -2.359e-06  1.796e-05 -2.564e-06 -4.885e-07
 3.365e-05  1.939e-06 -5.220e-06  2.230e-05 -1.246e-06 -1.539e-06
 3.651e-05  1.186e-06 -7.925e-06  2.639e-05  1.072e-07 -2.497e-06
 3.658e-05  2.899e-06 -9.926e-06  2.916e-05  1.315e-06 -3.255e-06
 3.381e-05  6.892e-06 -1.158e-05  2.923e-05  2.056e-06 -3.725e-06
 2.787e-05  1.167e-05 -1.393e-05  2.515e-05  2.157e-06 -3.786e-06
