#depth variance  VR       nsta
 25  1.061e-09  2.126e+00   4
#mxx        mxy        mxz        myy        myz        mzz
 3.136e+22  3.435e+22  2.424e+22  2.111e+23 -6.499e+22  2.034e+23
#st1 rk1 dp1 st2 rk2 dp2
 43  42  71 297 155  51
#pdc pclvd piso
 41   5  54

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  180 206.0 123.0   68  1.406e+00
#data T          R          Z    synth T          R          Z
-3.009e-05  8.315e-06  1.756e-05  6.400e-06 -5.554e-06  5.110e-06
-2.800e-05 -1.040e-05 -1.839e-07  5.612e-06 -5.677e-06  5.457e-06
-1.643e-05 -2.625e-05 -1.924e-05  3.034e-06 -5.731e-06  5.741e-06
-2.387e-06 -3.552e-05 -3.355e-05 -7.305e-07 -5.654e-06  5.902e-06
 6.434e-06 -3.755e-05 -4.057e-05 -4.745e-06 -5.340e-06  5.911e-06
 5.702e-06 -3.382e-05 -4.171e-05 -7.997e-06 -4.784e-06  5.763e-06
-2.569e-06 -2.737e-05 -3.999e-05 -9.644e-06 -4.094e-06  5.446e-06
-1.156e-05 -2.008e-05 -3.730e-05 -9.245e-06 -3.369e-06  4.950e-06
-1.509e-05 -1.290e-05 -3.292e-05 -6.928e-06 -2.647e-06  4.292e-06
-1.232e-05 -7.977e-06 -2.583e-05 -3.371e-06 -1.904e-06  3.510e-06
-7.779e-06 -7.834e-06 -1.646e-05  4.257e-07 -1.099e-06  2.668e-06
-7.550e-06 -1.199e-05 -8.005e-06  3.466e-06 -2.565e-07  1.818e-06
-1.517e-05 -1.519e-05 -4.438e-06  5.058e-06  5.232e-07  9.457e-07
-2.744e-05 -1.088e-05 -6.353e-06  5.013e-06  1.165e-06  9.988e-09
-3.494e-05  2.286e-06 -1.057e-05  3.702e-06  1.650e-06 -9.918e-07
-2.772e-05  1.759e-05 -1.291e-05  1.915e-06  1.999e-06 -2.042e-06
-2.009e-06  2.506e-05 -1.323e-05  5.656e-07  2.265e-06 -3.117e-06
 3.923e-05  2.031e-05 -1.428e-05  3.551e-07  2.478e-06 -4.175e-06
 8.872e-05  8.664e-06 -1.743e-05  1.538e-06  2.601e-06 -5.158e-06
 1.362e-04  1.254e-06 -2.076e-05  3.834e-06  2.568e-06 -5.997e-06
 1.693e-04  3.815e-06 -2.168e-05  6.509e-06  2.356e-06 -6.637e-06
 1.775e-04  1.157e-05 -1.884e-05  8.611e-06  1.983e-06 -7.099e-06
 1.592e-04  1.592e-05 -1.341e-05  9.283e-06  1.497e-06 -7.463e-06
 1.257e-04  1.374e-05 -7.637e-06  8.042e-06  9.661e-07 -7.759e-06
 6.482e-05  3.127e-07 -5.366e-06  4.943e-06  4.536e-07 -7.951e-06
